From Zone,To Zone,0.5kg,1.0kg,2.0kg,3.0kg,4.0kg,5.0kg,Base (>5kg),Per kg
ADL,ADL,7.125,7.125,7.125,7.125,7.125,7.125,7.125,0
ADL,SHT,7.8,7.8,7.8,7.8,7.8,7.8,7.8,0
ADL,GEE,8.65,8.8875,9.375,9.8625,10.35,10.85,11.3375,0.4875
ADL,MEL,8.5375,8.6625,8.9125,9.175,9.4375,9.6875,9.95,0.2625
ADL,NEW,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,SYD,8.65,8.8875,9.375,9.8625,10.35,10.85,11.3375,0.4875
ADL,WOL,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,YNG,9.55,10.725,13.0375,15.3625,17.6875,19.9875,22.3125,2.325
ADL,ALB,8.65,8.8875,9.375,9.8625,10.35,10.85,11.3375,0.4875
ADL,BEN,8.65,8.8875,9.375,9.8625,10.35,10.85,11.3375,0.4875
ADL,BRI,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,CBR,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,CCT,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,CFS,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,OAG,9.55,10.725,13.0375,15.3625,17.6875,19.9875,22.3125,2.325
ADL,DPO,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,GLD,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,LAU,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,NTH,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,PER,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,PQQ,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,TAS,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,SUN,8.85,9.3,10.1875,11.0875,11.9875,12.875,13.775,0.9
ADL,TOO,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,BDB,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,CAP,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,CNS,9.8125,11.2125,14.0375,16.8375,19.65,22.4625,25.2875,2.8125
ADL,MKY,9.55,10.725,13.0375,15.3625,17.6875,19.9875,22.3125,2.325
ADL,MYB,9.275,10.1375,11.875,13.6125,15.35,17.075,18.8125,1.7375
ADL,TVL,9.8125,11.2125,14.0375,16.8375,19.65,22.4625,25.2875,2.8125
ALB,ALB,7.3625,7.3625,7.3625,8.1875,8.725,8.8625,9,0.1375
ALB,SHT,9.6375,11.4875,12.3125,13.1625,15.55,17.9375,18.9125,1.3625
ALB,CBR,9.1375,10.225,11.325,12.1375,12.9625,13.975,17.4625,0.6875
ALB,BEN,10.3625,12.025,12.975,13.9,16.35,18.8,21.1375,0.725
ALB,GEE,10.3625,12.025,12.975,13.9,16.35,18.8,20.65,0.175
ALB,MEL,8.125,9.1875,10.6,11.875,12.575,13.4,17.4625,0.6875
ALB,SYD,8.7375,10.2125,11.175,12.125,12.8,14.2625,23.05,0.8875
ALB,WOL,10.3625,12.6625,13.575,14.5125,17.1375,19.7625,22.975,1.9625
ALB,YNG,10.525,12.025,13.1625,14.2875,16.7375,19.1875,19.95,0.725
ALB,CCT,10.3625,12.6625,13.575,14.5125,16.8375,19.1875,26.0625,1.9625
ALB,NEW,10.3625,12.6625,13.575,14.5125,17.1375,19.7625,26.05,1.9625
ALB,ADL,10.3625,12.025,12.975,13.9,16.35,18.8,26.975,1.9625
ALB,BRI,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,3.575
ALB,CFS,10.3625,12.025,12.975,13.9,16.35,18.8,26.7125,1.9625
ALB,GLD,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,3.575
ALB,NTH,11.2875,12.025,12.975,13.9,16.35,18.8,27.125,1.9625
ALB,OAG,10.3625,12.025,12.975,13.9,16.35,18.8,26.8625,1.9625
ALB,PQQ,11.2875,12.025,12.975,13.9,16.35,18.8,27.2125,1.9625
ALB,SUN,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,4.5375
ALB,TOO,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,4.5375
ALB,BDB,12.3,16.8125,18.9625,21.1125,23.2625,25.4,27.1875,4.5375
ALB,CAP,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,4.5375
ALB,DPO,10.3625,14.15,15.9625,17.775,19.5875,21.4,25.2375,2.9875
ALB,LAU,10.3625,14.15,15.9625,17.775,19.5875,21.4,25.2375,2.9875
ALB,MYB,12.3,16.8125,18.9625,21.1125,23.2625,25.4,27.1875,4.5375
ALB,TAS,10.3625,14.15,15.9625,17.775,19.5875,21.4,25.2375,2.9875
ALB,MKY,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,4.5375
ALB,TVL,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,8.1
ALB,PER,10.775,14.8,16.8125,18.825,20.775,33.5625,28.3875,8.1
ALB,CNS,10.775,14.8,16.8125,18.825,20.775,22.7125,23.05,5.4875
BDB,BDB,7.5384375,9.3928125,9.7690625,10.1453125,10.3065625,10.4678125,10.561875,0.080625
BDB,SHT,8.2909375,10.3334375,10.7365625,11.153125,11.34125,11.5159375,11.61,0.0940625
BDB,CAP,8.3984375,9.675,10.105,10.5484375,11.905625,13.249375,13.4509375,2.0828125
BDB,MKY,8.9896875,10.91125,11.4621875,11.9996875,13.571875,15.1440625,15.9771875,2.0828125
BDB,TVL,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,17.8046875,2.230625
BDB,MYB,8.3984375,9.675,10.105,10.5484375,11.905625,13.249375,13.4509375,2.0828125
BDB,CNS,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,17.8046875,2.365
BDB,BRI,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,17.8046875,2.0425
BDB,GLD,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,17.8046875,2.0425
BDB,SUN,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,17.8046875,2.0425
BDB,TOO,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,CFS,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,NTH,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,SYD,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,CBR,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,CCT,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,NEW,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,OAG,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,27.78875,3.7221875
BDB,PQQ,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,WOL,9.46,11.260625,11.905625,12.5371875,14.1496875,15.7621875,18.893125,3.1309375
BDB,MEL,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,27.78875,3.7221875
BDB,YNG,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,28.836875,4.7703125
BDB,ALB,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,28.836875,4.7703125
BDB,GEE,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,27.78875,3.7221875
BDB,ADL,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,27.78875,3.7221875
BDB,BEN,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,28.836875,4.7703125
BDB,DPO,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,29.7909375,5.724375
BDB,LAU,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,29.7909375,5.724375
BDB,PER,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,29.7909375,6.960625
BDB,TAS,11.4084375,15.64125,17.8046875,19.9546875,22.010625,24.0665625,29.7909375,5.724375
BEN,BEN,7.5,7.6375,7.9125,7.9125,8.3125,8.3125,8.45,0.1375
BEN,SHT,7.5625,7.7,7.9875,7.9875,8.3875,8.3875,11.3125,0.2
BEN,ALB,9.0875,12.55,13.3625,14.15,15.025,15.8875,18.4125,1.45
