FROM ZONE,TO ZONE,0.3kg,0.5kg,1kg,2kg,3kg,4kg,5kg,6kg,7kg,8kg,9kg,10kg,11kg,12kg,13kg,14kg,15kg,16kg,17kg,18kg,19kg,20kg,21kg,22kg,23kg,24kg,25kg,26kg,27kg,28kg,29kg,30kg,31kg,32kg,33kg,34kg,35kg,36kg,37kg,38kg,39kg,40kg
ADL,ADL,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84,15.84
ADL,SHT,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,7.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488,16.488
ADL,GEE,8.304,8.304,8.532,9,9.468,9.936,10.416,10.884,11.352,11.82,12.288,12.756,13.224,13.692,14.16,14.628,15.096,15.564,16.032,16.5,16.968,17.436,17.904,18.372,18.84,19.308,19.776,29.244,29.712,30.18,30.648,31.116,31.584,32.052,32.52,32.988,33.456,33.924,34.392,34.86,35.328,35.796
ADL,MEL,8.196,8.196,8.316,8.556,8.808,9.06,9.3,9.552,9.804,10.056,10.308,10.56,10.812,11.064,11.316,11.568,11.82,12.072,12.324,12.576,12.828,13.08,13.332,13.584,13.836,14.088,14.34,23.592,23.844,24.096,24.348,24.6,24.852,25.104,25.356,25.608,25.86,26.112,26.364,26.616,26.868,27.12
ADL,NEW,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,SYD,8.304,8.304,8.532,9,9.468,9.936,10.416,10.884,11.352,11.82,12.288,12.756,13.224,13.692,14.16,14.628,15.096,15.564,16.032,16.5,16.968,17.436,17.904,18.372,18.84,19.308,19.776,29.244,29.712,30.18,30.648,31.116,31.584,32.052,32.52,32.988,33.456,33.924,34.392,34.86,35.328,35.796
ADL,WOL,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,YNG,9.168,9.168,10.296,12.516,14.748,16.98,19.188,21.42,23.652,25.884,28.116,30.348,32.58,34.812,37.044,39.276,41.508,43.74,45.972,48.204,50.436,52.668,54.9,57.132,59.364,61.596,63.828,75.06,77.292,79.524,81.756,83.988,86.22,88.452,90.684,92.916,95.148,97.38,99.612,101.844,104.076,106.308
ADL,ALB,8.304,8.304,8.532,9,9.468,9.936,10.416,10.884,11.352,11.82,12.288,12.756,13.224,13.692,14.16,14.628,15.096,15.564,16.032,16.5,16.968,17.436,17.904,18.372,18.84,19.308,19.776,29.244,29.712,30.18,30.648,31.116,31.584,32.052,32.52,32.988,33.456,33.924,34.392,34.86,35.328,35.796
ADL,BEN,8.304,8.304,8.532,9,9.468,9.936,10.416,10.884,11.352,11.82,12.288,12.756,13.224,13.692,14.16,14.628,15.096,15.564,16.032,16.5,16.968,17.436,17.904,18.372,18.84,19.308,19.776,29.244,29.712,30.18,30.648,31.116,31.584,32.052,32.52,32.988,33.456,33.924,34.392,34.86,35.328,35.796
ADL,BRI,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,CBR,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,CCT,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,CFS,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,OAG,9.168,9.168,10.296,12.516,14.748,16.98,19.188,21.42,23.652,25.884,28.116,30.348,32.58,34.812,37.044,39.276,41.508,43.74,45.972,48.204,50.436,52.668,54.9,57.132,59.364,61.596,63.828,75.06,77.292,79.524,81.756,83.988,86.22,88.452,90.684,92.916,95.148,97.38,99.612,101.844,104.076,106.308
ADL,DPO,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,GLD,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,LAU,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,NTH,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,PER,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,PQQ,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,TAS,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
ADL,SUN,8.496,8.496,8.928,9.78,10.644,11.508,12.36,13.224,14.088,14.952,15.816,16.68,17.544,18.408,19.272,20.136,21,21.864,22.728,23.592,24.456,25.32,26.184,27.048,27.912,28.776,29.64,39.504,40.368,41.232,42.096,42.96,43.824,44.688,45.552,46.416,47.28,48.144,49.008,49.872,50.736,51.6
ADL,TOO,8.904,8.904,9.732,11.4,13.068,14.736,16.392,18.06,19.728,21.396,23.064,24.732,26.4,28.068,29.736,31.404,33.072,34.74,36.408,38.076,39.744,41.412,43.08,44.748,46.416,48.084,49.752,60.42,62.088,63.756,65.424,67.092,68.76,70.428,72.096,73.764,75.432,77.1,78.768,80.436,82.104,83.772
