From,To,Priority Service (business days),General Service (business days)
ADL,ADL,1,1 to 2
ADL,ALB,2,2 to 4
ADL,BEN,2,2 to 4
ADL,BRI,3,3 to 5
ADL,CNS,6,6 to 8
ADL,CBR,2,2 to 4
ADL,CAP,4,4 to 6
ADL,CCT,3,3 to 5
ADL,CFS,3,3 to 5
ADL,DPO,5,5 to 7
ADL,GEE,2,2 to 4
ADL,GLD,4,4 to 6
ADL,TAS,5,5 to 7
ADL,LAU,5,5 to 7
ADL,MKY,4,4 to 6
ADL,MYB,4,4 to 6
ADL,MEL,1,1 to 3
ADL,NEW,3,3 to 5
ADL,NTH,3,3 to 5
ADL,OAG,4,4 to 6
ADL,PER,6,6 to 8
ADL,PQQ,3,3 to 5
ADL,YNG,3,3 to 5
ADL,SUN,4,4 to 6
ADL,SYD,2,2 to 4
ADL,TOO,4,4 to 6
ADL,TVL,5,5 to 7
ADL,BDB,4,4 to 6
ADL,WOL,3,3 to 5
ALB,ADL,3,3 to 5
ALB,ALB,1,1 to 2
ALB,BEN,2,2 to 4
ALB,BRI,4,4 to 6
ALB,CNS,6,6 to 8
ALB,CBR,1,1 to 3
ALB,CAP,4,4 to 6
ALB,CCT,3,3 to 5
ALB,CFS,3,3 to 5
ALB,DPO,5,5 to 7
ALB,GEE,2,2 to 4
ALB,GLD,3,3 to 5
ALB,TAS,5,5 to 7
ALB,LAU,5,5 to 7
ALB,MKY,4,4 to 6
ALB,MYB,4,4 to 6
ALB,MEL,1,1 to 3
ALB,NEW,3,3 to 5
ALB,NTH,3,3 to 5
ALB,OAG,4,4 to 6
ALB,PER,7,7 to 9
ALB,PQQ,3,3 to 5
ALB,YNG,2,2 to 4
ALB,SUN,4,4 to 6
ALB,SYD,1,1 to 3
ALB,TOO,4,4 to 6
ALB,TVL,5,5 to 7
ALB,BDB,4,4 to 6
ALB,WOL,3,3 to 5
BDB,ADL,6,6 to 8
BDB,ALB,3,3 to 5
BDB,BEN,4,4 to 6
BDB,BRI,1,1 to 3
BDB,CNS,4,4 to 6
BDB,CBR,3,3 to 5
BDB,CAP,1,1 to 3
BDB,CCT,2,2 to 4
BDB,CFS,2,2 to 4
BDB,DPO,6,6 to 8
BDB,GEE,4,4 to 6
BDB,GLD,2,2 to 4
BDB,TAS,6,6 to 8
BDB,LAU,6,6 to 8
BDB,MKY,2,2 to 4
BDB,MYB,1,1 to 3
BDB,MEL,3,3 to 5
BDB,NEW,2,2 to 4
BDB,NTH,2,2 to 4
BDB,OAG,4,4 to 6
BDB,PER,8,8 to 10
BDB,PQQ,2,2 to 4
BDB,YNG,4,4 to 6
BDB,SUN,2,2 to 4
BDB,SYD,2,2 to 4
BDB,TOO,2,2 to 4
BDB,TVL,3,3 to 5
BDB,BDB,1,1 to 2
BDB,WOL,3,3 to 5
BEN,ADL,3,3 to 5
BEN,ALB,2,2 to 4
BEN,BEN,1,1 to 2
BEN,BRI,3,3 to 5
BEN,CNS,6,6 to 8
BEN,CBR,2,2 to 4
BEN,CAP,4,4 to 6
BEN,CCT,3,3 to 5
BEN,CFS,3,3 to 5
BEN,DPO,5,5 to 7
BEN,GEE,2,2 to 4
BEN,GLD,3,3 to 5
BEN,TAS,5,5 to 7
BEN,LAU,5,5 to 7
BEN,MKY,4,4 to 6
BEN,MYB,4,4 to 6
BEN,MEL,1,1 to 3
BEN,NEW,3,3 to 5
BEN,NTH,3,3 to 5
BEN,OAG,4,4 to 6
BEN,PER,7,7 to 9
BEN,PQQ,3,3 to 5
BEN,YNG,3,3 to 5
BEN,SUN,4,4 to 6
BEN,SYD,2,2 to 4
