SUBURB,POSTCODE,STATE,ZONE
BARANGAROO,2000,NSW,SYD
DARLING HARBOUR,2000,NSW,SYD
DAWES POINT,2000,NSW,SYD
HAYMARKET,2000,NSW,SYD
MILLERS POINT,2000,NSW,SYD
PARLIAMENT HOUSE,2000,NSW,SYD
SYDNEY,2000,NSW,SYD
SYDNEY SOUTH,2000,NSW,SYD
THE ROCKS,2000,NSW,SYD
SYDNEY,2001,NSW,SYD
WORLD SQUARE,2002,NSW,SYD
ALEXANDRIA MC,2004,NSW,SYD
EASTERN SUBURBS MC,2004,NSW,SYD
THE UNIVERSITY OF SYDNEY,2006,NSW,SYD
BROADWAY,2007,NSW,SYD
ULTIMO,2007,NSW,SYD
CHIPPENDALE,2008,NSW,SYD
DARLINGTON,2008,NSW,SYD
GOLDEN GROVE,2008,NSW,SYD
DARLING ISLAND,2009,NSW,SYD
PYRMONT,2009,NSW,SYD
DARLINGHURST,2010,NSW,SYD
SURRY HILLS,2010,NSW,SYD
TAYLOR SQUARE,2010,NSW,SYD
ELIZABETH BAY,2011,NSW,SYD
HMAS KUTTABUL,2011,NSW,SYD
KINGS CROSS,2011,NSW,SYD
POTTS POINT,2011,NSW,SYD
RUSHCUTTERS BAY,2011,NSW,SYD
WOOLLOOMOOLOO,2011,NSW,SYD
STRAWBERRY HILLS,2012,NSW,SYD
STRAWBERRY HILLS,2013,NSW,SYD
ALEXANDRIA,2015,NSW,SYD
BEACONSFIELD,2015,NSW,SYD
EVELEIGH,2015,NSW,SYD
REDFERN,2016,NSW,SYD
WATERLOO,2017,NSW,SYD
ZETLAND,2017,NSW,SYD
EASTLAKES,2018,NSW,SYD
ROSEBERY,2018,NSW,SYD
BANKSMEADOW,2019,NSW,SYD
BOTANY,2019,NSW,SYD
MASCOT,2020,NSW,SYD
SYDNEY DOMESTIC AIRPORT,2020,NSW,SYD
SYDNEY INTERNATIONAL AIRPORT,2020,NSW,SYD
CENTENNIAL PARK,2021,NSW,SYD
MOORE PARK,2021,NSW,SYD
PADDINGTON,2021,NSW,SYD
BONDI JUNCTION,2022,NSW,SYD
BONDI JUNCTION PLAZA,2022,NSW,SYD
QUEENS PARK,2022,NSW,SYD
BELLEVUE HILL,2023,NSW,SYD
BRONTE,2024,NSW,SYD
CHARING CROSS,2024,NSW,SYD
WAVERLEY,2024,NSW,SYD
WOOLLAHRA,2025,NSW,SYD
BEN BUCKLER,2026,NSW,SYD
BONDI,2026,NSW,SYD
BONDI BEACH,2026,NSW,SYD
NORTH BONDI,2026,NSW,SYD
TAMARAMA,2026,NSW,SYD
DARLING POINT,2027,NSW,SYD
EDGECLIFF,2027,NSW,SYD
HMAS RUSHCUTTERS,2027,NSW,SYD
POINT PIPER,2027,NSW,SYD
DOUBLE BAY,2028,NSW,SYD
ROSE BAY,2029,NSW,SYD
DIAMOND BAY,2030,NSW,SYD
DOVER HEIGHTS,2030,NSW,SYD
HMAS WATSON,2030,NSW,SYD
ROSE BAY NORTH,2030,NSW,SYD
VAUCLUSE,2030,NSW,SYD
WATSONS BAY,2030,NSW,SYD
CLOVELLY,2031,NSW,SYD
CLOVELLY WEST,2031,NSW,SYD
RANDWICK,2031,NSW,SYD
ST PAULS,2031,NSW,SYD
DACEYVILLE,2032,NSW,SYD
KINGSFORD,2032,NSW,SYD
KENSINGTON,2033,NSW,SYD
COOGEE,2034,NSW,SYD
SOUTH COOGEE,2034,NSW,SYD
MAROUBRA,2035,NSW,SYD
MAROUBRA SOUTH,2035,NSW,SYD
PAGEWOOD,2035,NSW,SYD
CHIFLEY,2036,NSW,SYD
EASTGARDENS,2036,NSW,SYD
HILLSDALE,2036,NSW,SYD
LA PEROUSE,2036,NSW,SYD
LITTLE BAY,2036,NSW,SYD
MALABAR,2036,NSW,SYD
MATRAVILLE,2036,NSW,SYD
PHILLIP BAY,2036,NSW,SYD
PORT BOTANY,2036,NSW,SYD
FOREST LODGE,2037,NSW,SYD
GLEBE,2037,NSW,SYD
ANNANDALE,2038,NSW,SYD
ROZELLE,2039,NSW,SYD
LEICHHARDT,2040,NSW,SYD
LILYFIELD,2040,NSW,SYD
BALMAIN,2041,NSW,SYD
BALMAIN EAST,2041,NSW,SYD
BIRCHGROVE,2041,NSW,SYD
ENMORE,2042,NSW,SYD
NEWTOWN,2042,NSW,SYD
ERSKINEVILLE,2043,NSW,SYD
ST PETERS,2044,NSW,SYD
SYDENHAM,2044,NSW,SYD
TEMPE,2044,NSW,SYD
HABERFIELD,2045,NSW,SYD
ABBOTSFORD,2046,NSW,SYD
CANADA BAY,2046,NSW,SYD
CHISWICK,2046,NSW,SYD
FIVE DOCK,2046,NSW,SYD
RODD POINT,2046,NSW,SYD
RUSSELL LEA,2046,NSW,SYD
WAREEMBA,2046,NSW,SYD
DRUMMOYNE,2047,NSW,SYD
STANMORE,2048,NSW,SYD
WESTGATE,2048,NSW,SYD
LEWISHAM,2049,NSW,SYD
PETERSHAM,2049,NSW,SYD
PETERSHAM NORTH,2049,NSW,SYD
CAMPERDOWN,2050,NSW,SYD
MISSENDEN ROAD,2050,NSW,SYD
UNIVERSITY OF NEW SOUTH WALES,2052,NSW,SYD
UNSW SYDNEY,2052,NSW,SYD
NORTH SYDNEY,2055,NSW,SYD
CHATSWOOD,2057,NSW,SYD
NORTHERN SUBURBS MC,2058,NSW,SYD
NORTH SYDNEY,2059,NSW,SYD
HMAS PLATYPUS,2060,NSW,SYD
HMAS WATERHEN,2060,NSW,SYD
LAVENDER BAY,2060,NSW,SYD
MCMAHONS POINT,2060,NSW,SYD
NORTH SYDNEY,2060,NSW,SYD
NORTH SYDNEY SHOPPINGWORLD,2060,NSW,SYD
WAVERTON,2060,NSW,SYD
KIRRIBILLI,2061,NSW,SYD
MILSONS POINT,2061,NSW,SYD
CAMMERAY,2062,NSW,SYD
NORTHBRIDGE,2063,NSW,SYD
ARTARMON,2064,NSW,SYD
CROWS NEST,2065,NSW,SYD
GORE HILL,2065,NSW,SYD
GREENWICH,2065,NSW,SYD
NAREMBURN,2065,NSW,SYD
ROYAL NORTH SHORE HOSPITAL,2065,NSW,SYD
SAINT LEONARDS,2065,NSW,SYD
ST LEONARDS,2065,NSW,SYD
WOLLSTONECRAFT,2065,NSW,SYD
LANE COVE,2066,NSW,SYD
LANE COVE NORTH,2066,NSW,SYD
LANE COVE WEST,2066,NSW,SYD
LINLEY POINT,2066,NSW,SYD
LONGUEVILLE,2066,NSW,SYD
NORTHWOOD,2066,NSW,SYD
OSBORNE PARK,2066,NSW,SYD
RIVERVIEW,2066,NSW,SYD
CHATSWOOD,2067,NSW,SYD
CHATSWOOD WEST,2067,NSW,SYD
CASTLECRAG,2068,NSW,SYD
MIDDLE COVE,2068,NSW,SYD
NORTH WILLOUGHBY,2068,NSW,SYD
WILLOUGHBY,2068,NSW,SYD
WILLOUGHBY EAST,2068,NSW,SYD
WILLOUGHBY NORTH,2068,NSW,SYD
CASTLE COVE,2069,NSW,SYD
ROSEVILLE,2069,NSW,SYD
ROSEVILLE CHASE,2069,NSW,SYD
EAST LINDFIELD,2070,NSW,SYD
LINDFIELD,2070,NSW,SYD
LINDFIELD WEST,2070,NSW,SYD
EAST KILLARA,2071,NSW,SYD
KILLARA,2071,NSW,SYD
GORDON,2072,NSW,SYD
PYMBLE,2073,NSW,SYD
WEST PYMBLE,2073,NSW,SYD
NORTH TURRAMURRA,2074,NSW,SYD
SOUTH TURRAMURRA,2074,NSW,SYD
TURRAMURRA,2074,NSW,SYD
WARRAWEE,2074,NSW,SYD
NORTH SAINT IVES,2075,NSW,SYD
NORTH ST IVES,2075,NSW,SYD
SAINT IVES,2075,NSW,SYD
ST IVES,2075,NSW,SYD
ST IVES CHASE,2075,NSW,SYD
NORMANHURST,2076,NSW,SYD
NORTH WAHROONGA,2076,NSW,SYD
WAHROONGA,2076,NSW,SYD
ASQUITH,2077,NSW,SYD
HORNSBY,2077,NSW,SYD
HORNSBY HEIGHTS,2077,NSW,SYD
WAITARA,2077,NSW,SYD
MOUNT COLAH,2079,NSW,SYD
MOUNT KURING-GAI,2080,NSW,SYD
BEROWRA,2081,NSW,SYD
BEROWRA HEIGHTS,2082,NSW,SYD
AKUNA BAY,2084,NSW,SYD
DUFFYS FOREST,2084,NSW,SYD
TERREY HILLS,2084,NSW,SYD
BELROSE,2085,NSW,SYD
BELROSE WEST,2085,NSW,SYD
DAVIDSON,2085,NSW,SYD
FRENCHS FOREST,2086,NSW,SYD
FRENCHS FOREST EAST,2086,NSW,SYD
FORESTVILLE,2087,NSW,SYD
KILLARNEY HEIGHTS,2087,NSW,SYD
MOSMAN,2088,NSW,SYD
SPIT JUNCTION,2088,NSW,SYD
KURRABA POINT,2089,NSW,SYD
NEUTRAL BAY,2089,NSW,SYD
NEUTRAL BAY JUNCTION,2089,NSW,SYD
CREMORNE,2090,NSW,SYD
CREMORNE JUNCTION,2090,NSW,SYD
CREMORNE POINT,2090,NSW,SYD
HMAS PENGUIN,2091,NSW,SYD
SEAFORTH,2092,NSW,SYD
BALGOWLAH,2093,NSW,SYD
BALGOWLAH HEIGHTS,2093,NSW,SYD
CLONTARF,2093,NSW,SYD
MANLY VALE,2093,NSW,SYD
NORTH BALGOWLAH,2093,NSW,SYD
FAIRLIGHT,2094,NSW,SYD
MANLY,2095,NSW,SYD
MANLY EAST,2095,NSW,SYD
CURL CURL,2096,NSW,SYD
FRESHWATER,2096,NSW,SYD
HARBORD,2096,NSW,SYD
QUEENSCLIFF,2096,NSW,SYD
COLLAROY,2097,NSW,SYD
COLLAROY BEACH,2097,NSW,SYD
COLLAROY PLATEAU,2097,NSW,SYD
