SUBURB,POSTCODE,ComCat,Region
ABBOTSBURY,2176,ABBOTSBURY2176,SYD
ABBOTSFORD,2046,ABBOTSFORD2046,SYD
ACACIA GARDENS,2763,ACACIA GARDENS2763,SYD
AGNES BANKS,2753,AGNES BANKS2753,SYD
AIRDS,2560,AIRDS2560,SYD
AKUNA BAY,2084,AKUNA BAY2084,SYD
ALEXANDRIA,2015,ALEXANDRIA2015,SYD
ALEXANDRIA MC,2004,ALEXANDRIA MC2004,SYD
ALFORDS POINT,2234,ALFORDS POINT2234,SYD
ALLAMBIE,2100,ALLAMBIE2100,SYD
ALLAMBIE HEIGHTS,2100,ALLAMBIE HEIGHTS2100,SYD
ALLAWAH,2218,ALLAWAH2218,SYD
AMBARVALE,2560,AMBARVALE2560,SYD
ANGUS,2765,ANGUS2765,SYD
ANNANDALE,2038,ANNANDALE2038,SYD
ANNANGROVE,2156,ANNANGROVE2156,SYD
ARCADIA,2159,ARCADIA2159,SYD
ARNCLIFFE,2205,ARNCLIFFE2205,SYD
ARNDELL PARK,2148,ARNDELL PARK2148,SYD
ARTARMON,2064,ARTARMON2064,SYD
ASHBURY,2193,ASHBURY2193,SYD
ASHCROFT,2168,ASHCROFT2168,SYD
ASHFIELD,2131,ASHFIELD2131,SYD
ASQUITH,2077,ASQUITH2077,SYD
AUBURN,2144,AUBURN2144,SYD
AUBURN SOUTH,2144,AUBURN SOUTH2144,SYD
AUSTRAL,2179,AUSTRAL2179,SYD
AVALON,2107,AVALON2107,SYD
AVALON BEACH,2107,AVALON BEACH2107,SYD
BADGERYS CREEK,2555,BADGERYS CREEK2555,SYD
BALGOWLAH,2093,BALGOWLAH2093,SYD
BALGOWLAH HEIGHTS,2093,BALGOWLAH HEIGHTS2093,SYD
BALMAIN,2041,BALMAIN2041,SYD
BALMAIN EAST,2041,BALMAIN EAST2041,SYD
BANGOR,2234,BANGOR2234,SYD
BANKSIA,2216,BANKSIA2216,SYD
BANKSMEADOW,2019,BANKSMEADOW2019,SYD
BANKSTOWN,2200,BANKSTOWN2200,SYD
BANKSTOWN AERODROME,2200,BANKSTOWN AERODROME2200,SYD
BANKSTOWN AIRPORT,2200,BANKSTOWN AIRPORT2200,SYD
BANKSTOWN NORTH,2200,BANKSTOWN NORTH2200,SYD
BANKSTOWN SQUARE,2200,BANKSTOWN SQUARE2200,SYD
BARANGAROO,2000,BARANGAROO2000,SYD
BARDEN RIDGE,2234,BARDEN RIDGE2234,SYD
BARDIA,2565,BARDIA2565,SYD
BARDWELL PARK,2207,BARDWELL PARK2207,SYD
BARDWELL VALLEY,2207,BARDWELL VALLEY2207,SYD
BASS HILL,2197,BASS HILL2197,SYD
BAULKHAM HILLS,2153,BAULKHAM HILLS2153,SYD
BAYVIEW,2104,BAYVIEW2104,SYD
BEACON HILL,2100,BEACON HILL2100,SYD
BEACONSFIELD,2015,BEACONSFIELD2015,SYD
BEAUMONT HILLS,2155,BEAUMONT HILLS2155,SYD
BEECROFT,2119,BEECROFT2119,SYD
BELFIELD,2190,BELFIELD2190,SYD
BELFIELD,2191,BELFIELD2191,SYD
BELLA VISTA,2153,BELLA VISTA2153,SYD
BELLEVUE HILL,2023,BELLEVUE HILL2023,SYD
BELMORE,2192,BELMORE2192,SYD
BELROSE,2085,BELROSE2085,SYD
BELROSE WEST,2085,BELROSE WEST2085,SYD
BEN BUCKLER,2026,BEN BUCKLER2026,SYD
BERALA,2141,BERALA2141,SYD
BERKSHIRE PARK,2765,BERKSHIRE PARK2765,SYD
BEROWRA,2081,BEROWRA2081,SYD
BEROWRA HEIGHTS,2082,BEROWRA HEIGHTS2082,SYD
BERRILEE,2159,BERRILEE2159,SYD
BEVERLEY PARK,2217,BEVERLEY PARK2217,SYD
BEVERLY HILLS,2209,BEVERLY HILLS2209,SYD
BEXLEY,2207,BEXLEY2207,SYD
BEXLEY NORTH,2207,BEXLEY NORTH2207,SYD
BEXLEY SOUTH,2207,BEXLEY SOUTH2207,SYD
BIDWILL,2770,BIDWILL2770,SYD
BILGOLA,2107,BILGOLA2107,SYD
BILGOLA BEACH,2107,BILGOLA BEACH2107,SYD
BILGOLA PLATEAU,2107,BILGOLA PLATEAU2107,SYD
BIRCHGROVE,2041,BIRCHGROVE2041,SYD
BIRRONG,2143,BIRRONG2143,SYD
BLACKETT,2770,BLACKETT2770,SYD
BLACKTOWN,2148,BLACKTOWN2148,SYD
BLACKTOWN WESTPOINT,2148,BLACKTOWN WESTPOINT2148,SYD
BLAIR ATHOL,2560,BLAIR ATHOL2560,SYD
BLAIRMOUNT,2559,BLAIRMOUNT2559,SYD
BLAKEHURST,2221,BLAKEHURST2221,SYD
BLAXCELL,2142,BLAXCELL2142,SYD
BLENHEIM ROAD,2113,BLENHEIM ROAD2113,SYD
BLIGH PARK,2756,BLIGH PARK2756,SYD
BONDI,2026,BONDI2026,SYD
BONDI BEACH,2026,BONDI BEACH2026,SYD
BONDI JUNCTION,2022,BONDI JUNCTION2022,SYD
BONDI JUNCTION PLAZA,2022,BONDI JUNCTION PLAZA2022,SYD
BONNET BAY,2226,BONNET BAY2226,SYD
BONNYRIGG,2177,BONNYRIGG2177,SYD
BONNYRIGG HEIGHTS,2177,BONNYRIGG HEIGHTS2177,SYD
BORONIA PARK,2111,BORONIA PARK2111,SYD
BOSSLEY PARK,2176,BOSSLEY PARK2176,SYD
BOTANY,2019,BOTANY2019,SYD
BOW BOWING,2566,BOW BOWING2566,SYD
BOX HILL,2765,BOX HILL2765,SYD
BRADBURY,2560,BRADBURY2560,SYD
BRADFIELD,2556,BRADFIELD2556,SYD
BREAKFAST POINT,2137,BREAKFAST POINT2137,SYD
BRIGHTON LE SANDS,2216,BRIGHTON LE SANDS2216,SYD
BRIGHTON-LE-SANDS,2216,BRIGHTON-LE-SANDS2216,SYD
BRINGELLY,2556,BRINGELLY2556,SYD
BROADWAY,2007,BROADWAY2007,SYD
BRONTE,2024,BRONTE2024,SYD
BROOKVALE,2100,BROOKVALE2100,SYD
BUNGARRIBEE,2767,BUNGARRIBEE2767,SYD
BURRANEER,2230,BURRANEER2230,SYD
BURWOOD,2134,BURWOOD2134,SYD
BURWOOD HEIGHTS,2136,BURWOOD HEIGHTS2136,SYD
BURWOOD NORTH,2134,BURWOOD NORTH2134,SYD
BUSBY,2168,BUSBY2168,SYD
CABARITA,2137,CABARITA2137,SYD
CABRAMATTA,2166,CABRAMATTA2166,SYD
CABRAMATTA WEST,2166,CABRAMATTA WEST2166,SYD
CADDENS,2747,CADDENS2747,SYD
CAMBRIDGE GARDENS,2747,CAMBRIDGE GARDENS2747,SYD
CAMBRIDGE PARK,2747,CAMBRIDGE PARK2747,SYD
CAMDEN,2570,CAMDEN2570,SYD
CAMDEN PARK,2570,CAMDEN PARK2570,SYD
CAMDEN SOUTH,2570,CAMDEN SOUTH2570,SYD
CAMELLIA,2142,CAMELLIA2142,SYD
CAMMERAY,2062,CAMMERAY2062,SYD
CAMPBELLTOWN,2560,CAMPBELLTOWN2560,SYD
CAMPBELLTOWN NORTH,2560,CAMPBELLTOWN NORTH2560,SYD
CAMPERDOWN,2050,CAMPERDOWN2050,SYD
CAMPSIE,2194,CAMPSIE2194,SYD
CANADA BAY,2046,CANADA BAY2046,SYD
CANLEY HEIGHTS,2166,CANLEY HEIGHTS2166,SYD
CANLEY VALE,2166,CANLEY VALE2166,SYD
CANTERBURY,2193,CANTERBURY2193,SYD
CARAVAN HEAD,2225,CARAVAN HEAD2225,SYD
CAREEL BAY,2107,CAREEL BAY2107,SYD
CARINGBAH,2229,CARINGBAH2229,SYD
CARINGBAH SOUTH,2229,CARINGBAH SOUTH2229,SYD
CARLINGFORD,2118,CARLINGFORD2118,SYD
CARLINGFORD COURT,2118,CARLINGFORD COURT2118,SYD
CARLINGFORD NORTH,2118,CARLINGFORD NORTH2118,SYD
CARLTON,2218,CARLTON2218,SYD
CARNES HILL,2171,CARNES HILL2171,SYD
CARRAMAR,2163,CARRAMAR2163,SYD
CARSS PARK,2221,CARSS PARK2221,SYD
CARTWRIGHT,2168,CARTWRIGHT2168,SYD
CASTLE COVE,2069,CASTLE COVE2069,SYD
CASTLE HILL,2154,CASTLE HILL2154,SYD
CASTLECRAG,2068,CASTLECRAG2068,SYD
CASTLEREAGH,2749,CASTLEREAGH2749,SYD
CASULA,2170,CASULA2170,SYD
CASULA MALL,2170,CASULA MALL2170,SYD
CATHERINE FIELD,2557,CATHERINE FIELD2557,SYD
CECIL HILLS,2171,CECIL HILLS2171,SYD
